transition,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
Calm / normal → Bull impulse,5,0.12788102003280125,0.12194444508392,0.031823013534423836,1.0,4.018507546259527
Bull impulse → Blow-off rally / parabolic,1,0.12169844096592675,0.12169844096592675,,1.0,
Bull impulse → Calm / normal,5,0.04044178004509393,0.045416120358946266,0.10373206936794456,0.6,0.3898676686150379
Choppy high-vol sideways → Bull impulse,184,0.02005478854692665,-0.005943063985260455,0.09991873178353611,0.4782608695652174,0.20071099971898496
Bull impulse → Sell-off / drawdown,75,0.017298062048182933,0.012383311979662498,0.0841035787464662,0.5866666666666667,0.20567569544607217
Calm / normal → Choppy high-vol sideways,29,0.012821379222115663,0.007535391057477803,0.050731914143805984,0.5517241379310345,0.25272807932639507
Bull impulse → Choppy high-vol sideways,242,0.010761551353815938,0.005530319499420955,0.08620875116261102,0.5289256198347108,0.12483131014758572
Blow-off rally / parabolic → Bull impulse,116,0.010188591837937853,-0.004373746409938484,0.09746596185859759,0.5,0.10453487190450483
Choppy high-vol sideways → Sell-off / drawdown,1553,0.008354118743866346,0.007454062082105306,0.0677659497027077,0.557630392788152,0.12327900340091512
Choppy high-vol sideways → Calm / normal,330,0.007965421799363472,0.0030140360963422097,0.052360539562472476,0.5333333333333333,0.15212642699870876
Choppy high-vol sideways → Blow-off rally / parabolic,826,0.007240716499655662,-0.003963702556361914,0.07188506289572369,0.48426150121065376,0.10072630123672603
Blow-off rally / parabolic → Calm / normal,1743,0.004938726931616511,0.0018600081530451007,0.04219783288238277,0.5272518646012622,0.11703745415984117
Blow-off rally / parabolic → Choppy high-vol sideways,985,0.0036316149981628605,9.03826137568009E-4,0.06455621529757066,0.5086294416243655,0.05625507910311965
Calm / normal → Blow-off rally / parabolic,1935,0.003560383447020984,-0.0020845666614994762,0.05032604379610387,0.47390180878552973,0.07074634082992673
Sell-off / drawdown → Bull impulse,17,0.0010402580728434713,-0.030789467431826867,0.11781249979627018,0.4117647058823529,0.00882977676089006
Calm / normal → Sell-off / drawdown,1531,4.5820059749331776E-4,0.006443301029174897,0.052283238126874486,0.5558458523840627,0.008763814444342818
Blow-off rally / parabolic → Sell-off / drawdown,689,4.1149770550913753E-4,0.002553156862969641,0.056160855256804934,0.5166908563134979,0.007327126761647329
Sell-off / drawdown → Blow-off rally / parabolic,773,2.8616652261818134E-4,-0.006568220246372047,0.061778527161475305,0.44372574385511,0.004632135723634295
Sell-off / drawdown → Calm / normal,1424,-0.004698006516898745,-0.0018672291845684974,0.048465862240594515,0.4768258426966292,-0.09693434305525968
Sell-off / drawdown → Choppy high-vol sideways,1624,-0.008030557297834695,-0.007037870979499594,0.06960285129968324,0.458128078817734,-0.11537684373386067
